Date,Close, Volume, Open, High, Low
8/5/2016,163.5,3811638,162,163.51,161.57
8/4/2016,161.55,2476730,160.86,161.7,160.12
8/3/2016,160.67,2861558,160.13,160.86,159.8
8/2/2016,160.58,3078620,161.27,161.4499,160.36
8/1/2016,161.45,2819141,160.65,161.65,159.84
7/29/2016,160.62,3547292,161.36,161.67,160.03
7/28/2016,161.37,2337914,161.38,161.81,160.71
7/27/2016,161.83,2162675,162.12,162.57,161.18
7/26/2016,162.12,2891300,162.65,163.6,161.37
7/25/2016,162.65,2737628,162,162.88,161.75
7/22/2016,162.07,2519776,160.78,162.17,160.479
7/21/2016,160.45,4045682,160.75,161.85,159.89
7/20/2016,161.36,4373009,159.97,161.71,159.6
7/19/2016,159.58,7118788,161.78,162.14,157.89
7/18/2016,159.86,6561873,159.3,160.75,158.73
7/15/2016,159.78,4470663,159.9,159.98,158.5
7/14/2016,160.28,4636668,158.81,161.4,158.58
7/13/2016,158.02,2744622,157.75,158.34,157.06
7/12/2016,157.04,3842709,156,157.12,155.52
7/11/2016,155.33,2779343,154.6,156.04,154.5
7/8/2016,154.46,3040393,154,154.6,153.08
7/7/2016,152.6,2138421,152.75,153.6891,151.89
7/6/2016,152.37,2569393,151.85,152.41,149.92
7/5/2016,151.68,2462590,151.19,152,150.76
7/1/2016,152.35,2658279,152.19,152.97,151.4
6/30/2016,151.78,3966570,148.86,151.91,148.67
6/29/2016,148.46,3367419,146.5,148.48,146.45
6/28/2016,145.7,3995730,144.78,145.73,144.22
6/27/2016,143.5,5146095,146.18,146.6,142.5
6/24/2016,146.59,9060752,149.97,150.61,146.18
6/23/2016,155.35,3963004,153.45,155.48,152.6
6/22/2016,152.92,2833364,153.75,154.71,152.27
6/21/2016,154.05,2760232,154.16,154.5689,153.69
6/20/2016,153.61,3571998,152.6,154.67,152.52
6/17/2016,151.99,4659807,150.96,152.72,150.6044
6/16/2016,151.06,2427715,150.19,151.295,149
6/15/2016,150.68,2257369,151.46,151.7925,150.6
6/14/2016,151.06,2864498,151.28,151.79,150.4
6/13/2016,151.28,3607008,151.63,152.5,150.28
6/10/2016,152.37,3120260,152.79,153.3299,151.86
6/9/2016,153.42,2021596,152.92,153.76,152.73
6/8/2016,154,2933075,153.53,154.09,153.04
